Benchmarks	system.cpu.icache.overall_miss_rate::total
speclibm_985	0.013373
speclibm_986	0.011052
speclibm_987	0.018531
speclibm_988	0.013373
speclibm_989	0.011052
speclibm_990	0.018531
speclibm_991	0.013373
speclibm_992	0.011052
speclibm_993	0.018531
speclibm_994	0.013373
speclibm_995	0.011052
speclibm_996	0.018531
speclibm_997	0.013373
speclibm_998	0.011052
speclibm_999	0.018531
speclibm_1000	0.013373
speclibm_1001	0.011052
speclibm_1002	0.018531
speclibm_1003	0.013373
speclibm_1004	0.011052
speclibm_1005	0.018531
speclibm_1006	0.013373
speclibm_1007	0.011052
speclibm_1008	0.018531
speclibm_1009	0.013373
speclibm_1010	0.011052
speclibm_1011	0.018531
speclibm_1012	0.013373
speclibm_1013	0.011052
speclibm_1014	0.018531
speclibm_1015	0.013373
speclibm_1016	0.011052
speclibm_1017	0.018531
speclibm_1018	0.013373
speclibm_1019	0.011052
speclibm_1020	0.018531
speclibm_1021	0.013373
speclibm_1022	0.011052
speclibm_1023	0.018531
speclibm_1024	0.013373
speclibm_1025	0.011052
speclibm_1026	0.018531
speclibm_1027	0.013373
speclibm_1028	0.011052
speclibm_1029	0.018531
speclibm_1030	0.013373
speclibm_1031	0.011052
speclibm_1032	0.018531
speclibm_1033	0.013373
speclibm_1034	0.011052
speclibm_1035	0.018531
speclibm_1036	0.013373
speclibm_1037	0.011052
speclibm_1038	0.018531
speclibm_1039	0.013373
speclibm_1040	0.011052
speclibm_1041	0.018531
speclibm_1042	0.013373
speclibm_1043	0.011052
speclibm_1044	0.018531
speclibm_1045	0.013373
speclibm_1046	0.011052
speclibm_1047	0.018531
speclibm_1048	0.013373
speclibm_1049	0.011052
speclibm_1050	0.018531
speclibm_1051	0.013373
speclibm_1052	0.011042
speclibm_1053	0.018531
speclibm_1054	0.013373
speclibm_1055	0.011052
speclibm_1056	0.018531
speclibm_1057	0.013373
speclibm_1058	0.011052
speclibm_1059	0.018531
speclibm_1060	0.013373
speclibm_1061	0.011052
speclibm_1062	0.018531
speclibm_1063	0.013373
